Block,BlockGroup
60759809001078,60759809001
60759809001097,60759809001
60750615005004,60750615005
60750615005005,60750615005
60750615005007,60750615005
60750607003001,60750607003
60750607003000,60750607003
60750180001013,60750180001
60750226001013,60750226001
60750232001014,60750232001
60750234001001,60750234001
60750258002029,60750258002
60750610002027,60750610002
60750264022006,60750264022
60750258002027,60750258002
60750233001003,60750233001
60750232002008,60750232002
60750259002012,60750259002
60750352012002,60750352012
60750354005011,60750354005
60750604001037,60750604001
60750329023009,60750329023
60750331004002,60750331004
60750128002007,60750128002
60750132003009,60750132003
60750327007007,60750327007
60750327003005,60750327003
60750327003002,60750327003
60750327002001,60750327002
60750151002003,60750151002
60750124022019,60750124022
60750124022007,60750124022
60750176013000,60750176013
60750202001000,60750202001
60750615001033,60750615001
60750180001017,60750180001
60750180001003,60750180001
60750615005015,60750615005
60750161002002,60750161002
60750308002001,60750308002
60750259002002,60750259002
60750309001007,60750309001
60750307003018,60750307003
60750301022010,60750301022
60750301023010,60750301023
60750204021003,60750204021
60750216002007,60750216002
60750306001002,60750306001
60750307001005,60750307001
60750332031014,60750332031
60750330004014,60750330004
60750134003001,60750134003
60750132003008,60750132003
60750134003000,60750134003
60750134001000,60750134001
60750153002008,60750153002
60750153002005,60750153002
60750134003007,60750134003
60750132002000,60750132002
60750132002006,60750132002
60750615003005,60750615003
60750264032008,60750264032
60750615004004,60750615004
60750615003006,60750615003
60750452004000,60750452004
60750402001007,60750402001
60750260012002,60750260012
60750260012004,60750260012
60750261002002,60750261002
60750261002020,60750261002
60750260041016,60750260041
60750263011008,60750263011
60750263012018,60750263012
60750263013010,60750263013
60750263032003,60750263032
60750260041018,60750260041
60750260042000,60750260042
60750260032000,60750260032
60750260042006,60750260042
60750260032012,60750260032
60750263021011,60750263021
60750263022009,60750263022
60750255001021,60750255001
60750109001001,60750109001
60750312013003,60750312013
60750254032005,60750254032
60750231032016,60750231032
60750167003004,60750167003
60750601001159,60750601001
60750263023020,60750263023
60750614001003,60750614001
60750607002024,60750607002
60750330004004,60750330004
60750310003005,60750310003
60750306001010,60750306001
60750204021014,60750204021
60750255006002,60750255006
60750311001002,60750311001
60750311001000,60750311001
60750255001013,60750255001
60750255002028,60750255002
60750311001005,60750311001
60750217002012,60750217002
60750254013005,60750254013
60750254031016,60750254031
60750309003015,60750309003
60750309002017,60750309002
60750313011004,60750313011
60750309003018,60750309003
60750309003011,60750309003
60750313011000,60750313011
60750309001015,60750309001
60750264021002,60750264021
60750257012039,60750257012
60750257012040,60750257012
60750262004001,60750262004
60750257022019,60750257022
60750452004003,60750452004
60750401004005,60750401004
60750401003001,60750401003
60750451003006,60750451003
60750156003004,60750156003
60750451002004,60750451002
60750451001008,60750451001
60750451001009,60750451001
60759803001056,60759803001
60750302021007,60750302021
60750302021005,60750302021
60750302023006,60750302023
60750302023004,60750302023
60750302021000,60750302021
60750301013001,60750301013
60750309005004,60750309005
60750309005016,60750309005
60750309005009,60750309005
60750308003016,60750308003
60750308001001,60750308001
60750308001005,60750308001
60750308001000,60750308001
60750308001007,60750308001
60750308001008,60750308001
60750306003003,60750306003
60750306001008,60750306001
60750177001040,60750177001
60750601001139,60750601001
60750601001137,60750601001
60750133001005,60750133001
60750133003005,60750133003
60750162003000,60750162003
60750163002003,60750163002
60750124023003,60750124023
60750256004003,60750256004
60750218002001,60750218002
60750253003000,60750253003
60750253002009,60750253002
60750253002005,60750253002
60750218002009,60750218002
60750254013000,60750254013
60750254031006,60750254031
60750254032010,60750254032
60750309002005,60750309002
60750309002012,60750309002
60750309002016,60750309002
60750309003016,60750309003
60750264011008,60750264011
60750264012005,60750264012
60750264032009,60750264032
60750264031004,60750264031
60750264031003,60750264031
60750257022012,60750257022
60750230013001,60750230013
60750230013009,60750230013
60750230013006,60750230013
60750257022018,60750257022
60750257021004,60750257021
60750230013004,60750230013
60750177002023,60750177002
60750177002032,60750177002
60750226001009,60750226001
60750227022001,60750227022
60759809001013,60759809001
60750614001008,60750614001
60750614002017,60750614002
60750177001057,60750177001
60750479012004,60750479012
60759803001011,60759803001
60750476001000,60750476001
60750476001006,60750476001
60750476002000,60750476002
60750601001162,60750601001
60750157003005,60750157003
60750156001000,60750156001
60750402001004,60750402001
60750452001003,60750452001
60750452001000,60750452001
60750158012006,60750158012
60750155002007,60750155002
60750204012001,60750204012
60750204011004,60750204011
60750170002008,60750170002
60750204013015,60750204013
60750204013001,60750204013
60750201001012,60750201001
60750170002006,60750170002
60750169002004,60750169002
60750203003006,60750203003
60750205001008,60750205001
60750206004001,60750206004
60750206004006,60750206004
60750159002009,60750159002
60750161003003,60750161003
60750161002003,60750161002
60750168011001,60750168011
60750168011000,60750168011
60750252002005,60750252002
60750252002006,60750252002
60750258001001,60750258001
60750259003001,60750259003
60750478012000,60750478012
60750230031012,60750230031
60750233001002,60750233001
60750233001024,60750233001
60750233001015,60750233001
60750234001020,60750234001
60750234001022,60750234001
