Block,BlockGroup,Tract
60750107001006.00,60750107001,6075010700
60750107001007.00,60750107001,6075010700
60750107002000.00,60750107002,6075010700
60750107002001.00,60750107002,6075010700
60750107002002.00,60750107002,6075010700
60750107002003.00,60750107002,6075010700
60750107003000.00,60750107003,6075010700
60750107003001.00,60750107003,6075010700
60750107003002.00,60750107003,6075010700
60750107003003.00,60750107003,6075010700
60750107003004.00,60750107003,6075010700
60750107003005.00,60750107003,6075010700
60750107003006.00,60750107003,6075010700
60750107003007.00,60750107003,6075010700
60750107003008.00,60750107003,6075010700
60750107003009.00,60750107003,6075010700
60750107004000.00,60750107004,6075010700
60750107004001.00,60750107004,6075010700
60750107004002.00,60750107004,6075010700
60750108001000.00,60750108001,6075010800
60750108001001.00,60750108001,6075010800
60750108001002.00,60750108001,6075010800
60750108001003.00,60750108001,6075010800
60750108001004.00,60750108001,6075010800
60750108001005.00,60750108001,6075010800
60750108002000.00,60750108002,6075010800
60750108002001.00,60750108002,6075010800
60750108002002.00,60750108002,6075010800
60750108002003.00,60750108002,6075010800
60750108002004.00,60750108002,6075010800
60750108002005.00,60750108002,6075010800
60750108002006.00,60750108002,6075010800
60750108002007.00,60750108002,6075010800
60750108002008.00,60750108002,6075010800
60750108002009.00,60750108002,6075010800
60750108002010.00,60750108002,6075010800
60750108002011.00,60750108002,6075010800
60750108003000.00,60750108003,6075010800
60750108003001.00,60750108003,6075010800
60750108003002.00,60750108003,6075010800
60750108003003.00,60750108003,6075010800
60750108003004.00,60750108003,6075010800
60750108003005.00,60750108003,6075010800
60750109001000.00,60750109001,6075010900
60750109001001.00,60750109001,6075010900
60750109001002.00,60750109001,6075010900
60750109001003.00,60750109001,6075010900
60750109001004.00,60750109001,6075010900
60750109001005.00,60750109001,6075010900
60750109001006.00,60750109001,6075010900
60750109001007.00,60750109001,6075010900
60750109002000.00,60750109002,6075010900
60750109002001.00,60750109002,6075010900
60750109002002.00,60750109002,6075010900
60750109002003.00,60750109002,6075010900
60750109002004.00,60750109002,6075010900
60750109002005.00,60750109002,6075010900
60750109003000.00,60750109003,6075010900
60750109003001.00,60750109003,6075010900
60750109003002.00,60750109003,6075010900
60750109003003.00,60750109003,6075010900
60750109003004.00,60750109003,6075010900
60750109003005.00,60750109003,6075010900
60750109003006.00,60750109003,6075010900
60750109003007.00,60750109003,6075010900
60750109003008.00,60750109003,6075010900
60750109003009.00,60750109003,6075010900
60750110001000.00,60750110001,6075011000
